ID,lsoa01cd,lsoa01nm,mh_crude_tot,mh_tot
130,E01000130,Barnet 021A,327,-0.251713385
131,E01000131,Barnet 024E,258,-0.628114025
132,E01000132,Barnet 021B,263,-0.600838616
133,E01000133,Barnet 021C,420,0.255609217
134,E01000134,Barnet 024F,292,-0.442641245
135,E01000135,Barnet 038A,793,2.290354706
136,E01000136,Barnet 038B,849,2.595839284
137,E01000137,Barnet 041A,1245,4.756051652
138,E01000138,Barnet 040A,284,-0.486281899
139,E01000139,Barnet 041B,241,-0.720850414
140,E01000140,Barnet 041C,643,1.472092445
141,E01000141,Barnet 039A,273,-0.546287798
142,E01000142,Barnet 040B,875,2.737671409
143,E01000143,Barnet 041D,437,0.348345607
144,E01000144,Barnet 038C,302,-0.388090428
145,E01000145,Barnet 037A,295,-0.426276
146,E01000146,Barnet 038D,294,-0.431731082
147,E01000147,Barnet 030A,216,-0.857227458
148,E01000148,Barnet 030B,332,-0.224437976
149,E01000149,Barnet 030C,169,-1.113616299
150,E01000150,Barnet 036A,241,-0.720850414
151,E01000151,Barnet 026B,390,0.091956765
152,E01000152,Barnet 026C,254,-0.649934351
153,E01000153,Barnet 026D,488,0.626554776
154,E01000154,Barnet 026E,365,-0.044420278
155,E01000155,Barnet 030D,327,-0.251713385
156,E01000156,Barnet 022A,189,-1.004514665
157,E01000157,Barnet 022B,339,-0.186252404
158,E01000158,Barnet 015A,331,-0.229893058
159,E01000159,Barnet 015B,264,-0.595383534
160,E01000160,Barnet 015C,225,-0.808131722
161,E01000161,Barnet 015D,380,0.037405948
162,E01000162,Barnet 015E,1025,3.55593367
163,E01000163,Barnet 022C,500,0.692015756
164,E01000164,Barnet 022D,386,0.070136438
165,E01000165,Barnet 022E,155,-1.189987444
166,E01000166,Barnet 003A,265,-0.589928452
167,E01000167,Barnet 002A,426,0.288339708
168,E01000168,Barnet 003B,215,-0.862682539
169,E01000169,Barnet 003C,268,-0.573563207
170,E01000170,Barnet 006A,435,0.337435443
171,E01000171,Barnet 006B,373,-0.000779624
172,E01000172,Barnet 003D,169,-1.113616299
173,E01000173,Barnet 006C,227,-0.797221558
174,E01000174,Barnet 006D,345,-0.153521913
175,E01000175,Barnet 006E,262,-0.606293698
176,E01000176,Barnet 027A,424,0.277429544
177,E01000177,Barnet 029A,215,-0.862682539
178,E01000178,Barnet 027B,218,-0.846317294
179,E01000179,Barnet 029B,211,-0.884502866
180,E01000180,Barnet 029C,410,0.2010584
181,E01000181,Barnet 029D,167,-1.124526463
182,E01000182,Barnet 029E,315,-0.317174365
183,E01000183,Barnet 033A,485,0.61018953
184,E01000184,Barnet 027C,423,0.271974462
185,E01000185,Barnet 029F,466,0.506542977
186,E01000186,Barnet 014A,109,-1.440921204
187,E01000187,Barnet 014B,430,0.310160035
188,E01000188,Barnet 014C,147,-1.233628098
189,E01000189,Barnet 014D,421,0.261064299
190,E01000190,Barnet 014E,265,-0.589928452
191,E01000191,Barnet 014F,237,-0.742670741
192,E01000192,Barnet 018A,209,-0.89541303
193,E01000193,Barnet 018B,262,-0.606293698
194,E01000194,Barnet 018C,247,-0.688119924
195,E01000195,Barnet 013A,450,0.419261669
196,E01000196,Barnet 028A,231,-0.775401231
197,E01000197,Barnet 023A,247,-0.688119924
198,E01000198,Barnet 025A,208,-0.900868112
199,E01000199,Barnet 025B,153,-1.200897607
200,E01000200,Barnet 028B,319,-0.295354038
201,E01000201,Barnet 028C,122,-1.370005141
202,E01000202,Barnet 028D,202,-0.933598602
203,E01000203,Barnet 028E,239,-0.731760578
204,E01000204,Barnet 025C,329,-0.240803221
205,E01000205,Barnet 035A,146,-1.239083179
206,E01000206,Barnet 033B,636,1.433906873
207,E01000207,Barnet 033C,176,-1.075430727
208,E01000208,Barnet 033D,191,-0.993604501
209,E01000209,Barnet 035B,244,-0.704485169
210,E01000210,Barnet 033E,213,-0.873592703
211,E01000211,Barnet 035C,422,0.266519381
212,E01000212,Barnet 035D,209,-0.89541303
213,E01000213,Barnet 033F,103,-1.473651694
214,E01000214,Barnet 038E,179,-1.059065482
215,E01000215,Barnet 037B,256,-0.639024188
216,E01000216,Barnet 035E,332,-0.224437976
217,E01000217,Barnet 035F,166,-1.129981545
218,E01000218,Barnet 037C,287,-0.469916654
219,E01000219,Barnet 037D,228,-0.791766477
220,E01000220,Barnet 037E,867,2.694030755
221,E01000221,Barnet 039B,692,1.73939145
222,E01000222,Barnet 040C,318,-0.30080912
223,E01000223,Barnet 039C,464,0.495632814
224,E01000224,Barnet 040D,185,-1.026334992
225,E01000225,Barnet 037F,426,0.288339708
226,E01000226,Barnet 018D,395,0.119232174
227,E01000227,Barnet 018E,250,-0.671754678
228,E01000228,Barnet 007A,235,-0.753580905
229,E01000229,Barnet 013B,409,0.195603318
230,E01000230,Barnet 013C,278,-0.51901239
231,E01000231,Barnet 013D,192,-0.988149419
232,E01000232,Barnet 013E,276,-0.529922553
233,E01000233,Barnet 013F,203,-0.92814352
234,E01000234,Barnet 021D,187,-1.015424828
235,E01000235,Barnet 021E,331,-0.229893058
236,E01000236,Barnet 034A,292,-0.442641245
237,E01000237,Barnet 032A,230,-0.780856313
238,E01000238,Barnet 034B,242,-0.715395332
239,E01000239,Barnet 031A,181,-1.048155318
240,E01000240,Barnet 031B,222,-0.824496967
241,E01000241,Barnet 031C,217,-0.851772376
242,E01000242,Barnet 032B,771,2.170342908
243,E01000243,Barnet 032C,351,-0.120791423
244,E01000244,Barnet 032D,503,0.708381002
245,E01000245,Barnet 032E,512,0.757476737
246,E01000246,Barnet 002B,174,-1.086340891
247,E01000247,Barnet 002C,241,-0.720850414
248,E01000248,Barnet 001A,379,0.031950866
249,E01000249,Barnet 001B,183,-1.037245155
250,E01000250,Barnet 001C,268,-0.573563207
251,E01000251,Barnet 002D,388,0.081046602
252,E01000252,Barnet 002E,344,-0.158976995
253,E01000253,Barnet 007B,425,0.282884626
254,E01000254,Barnet 001D,363,-0.055330442
255,E01000255,Barnet 017A,278,-0.51901239
256,E01000256,Barnet 016A,173,-1.091795972
257,E01000257,Barnet 017B,393,0.10832201
258,E01000258,Barnet 016B,263,-0.600838616
259,E01000259,Barnet 025D,265,-0.589928452
260,E01000260,Barnet 025E,204,-0.922688438
261,E01000261,Barnet 017C,252,-0.660844515
262,E01000262,Barnet 017D,199,-0.949963847
263,E01000263,Barnet 016C,141,-1.266358588
264,E01000264,Barnet 016D,268,-0.573563207
265,E01000265,Barnet 011A,316,-0.311719284
266,E01000266,Barnet 011B,178,-1.064520564
267,E01000267,Barnet 005A,311,-0.338994692
268,E01000268,Barnet 005B,447,0.402896424
269,E01000269,Barnet 005C,255,-0.64447927
270,E01000270,Barnet 005D,198,-0.955418929
271,E01000271,Barnet 008A,351,-0.120791423
272,E01000272,Barnet 008B,540,0.910219026
273,E01000273,Barnet 008C,531,0.86112329
274,E01000274,Barnet 011C,289,-0.459006491
275,E01000275,Barnet 012A,748,2.044876028
276,E01000276,Barnet 020A,108,-1.446376285
277,E01000277,Barnet 012B,493,0.653830184
278,E01000278,Barnet 020B,141,-1.266358588
279,E01000279,Barnet 007C,166,-1.129981545
280,E01000280,Barnet 007D,124,-1.359094978
281,E01000281,Barnet 008D,455,0.446537078
282,E01000282,Barnet 008E,176,-1.075430727
283,E01000283,Barnet 012C,171,-1.102706136
284,E01000284,Barnet 012D,451,0.424716751
285,E01000285,Barnet 004A,380,0.037405948
286,E01000286,Barnet 007E,608,1.281164584
287,E01000287,Barnet 004B,396,0.124687256
288,E01000288,Barnet 004C,287,-0.469916654
289,E01000289,Barnet 004D,395,0.119232174
290,E01000290,Barnet 007F,453,0.435626915
291,E01000291,Barnet 004E,357,-0.088060932
292,E01000292,Barnet 001E,262,-0.606293698
293,E01000293,Barnet 001F,236,-0.748125823
294,E01000294,Barnet 004F,847,2.58492912
295,E01000295,Barnet 023B,286,-0.475371736
296,E01000296,Barnet 023C,223,-0.819041885
297,E01000297,Barnet 027D,178,-1.064520564
298,E01000298,Barnet 023D,445,0.391986261
299,E01000299,Barnet 019A,413,0.217423645
300,E01000300,Barnet 019B,254,-0.649934351
301,E01000301,Barnet 020C,203,-0.92814352
302,E01000302,Barnet 019C,599,1.232068849
303,E01000303,Barnet 020D,357,-0.088060932
304,E01000304,Barnet 020E,357,-0.088060932
305,E01000305,Barnet 036B,287,-0.469916654
306,E01000306,Barnet 036C,150,-1.217262852
307,E01000307,Barnet 039D,373,-0.000779624
308,E01000308,Barnet 036D,447,0.402896424
309,E01000309,Barnet 031D,222,-0.824496967
310,E01000310,Barnet 034C,444,0.386531179
311,E01000311,Barnet 034D,207,-0.906323193
312,E01000312,Barnet 036E,557,1.002955416
313,E01000313,Barnet 036F,281,-0.502647145
314,E01000314,Barnet 032F,241,-0.720850414
315,E01000315,Barnet 022F,373,-0.000779624
316,E01000316,Barnet 027E,165,-1.135436626
317,E01000317,Barnet 019D,371,-0.011689788
318,E01000318,Barnet 019E,343,-0.164432077
319,E01000319,Barnet 027F,216,-0.857227458
320,E01000320,Barnet 011D,351,-0.120791423
321,E01000321,Barnet 012E,535,0.882943617
322,E01000322,Barnet 011E,362,-0.060785524
323,E01000323,Barnet 019F,690,1.728481287
324,E01000324,Barnet 015F,441,0.370165934
325,E01000325,Bexley 014A,144,-1.249993343
326,E01000326,Bexley 014B,225,-0.808131722
327,E01000327,Bexley 017A,214,-0.868137621
328,E01000328,Bexley 017B,270,-0.562653044
329,E01000329,Bexley 017C,272,-0.55174288
330,E01000330,Bexley 017D,476,0.561093795
331,E01000331,Bexley 017E,298,-0.409910755
332,E01000332,Bexley 005A,259,-0.622658943
333,E01000333,Bexley 003A,353,-0.109881259
334,E01000334,Bexley 006A,244,-0.704485169
335,E01000335,Bexley 003B,261,-0.611748779
336,E01000336,Bexley 003C,455,0.446537078
337,E01000337,Bexley 003D,340,-0.180797322
338,E01000338,Bexley 003E,197,-0.960874011
339,E01000339,Bexley 025A,303,-0.382635346
340,E01000340,Bexley 018A,208,-0.900868112
341,E01000341,Bexley 022A,238,-0.737215659
342,E01000342,Bexley 022B,231,-0.775401231
343,E01000343,Bexley 022C,220,-0.835407131
344,E01000344,Bexley 025B,273,-0.546287798
345,E01000345,Bexley 022D,133,-1.309999242
346,E01000346,Bexley 021A,146,-1.239083179
347,E01000347,Bexley 021B,228,-0.791766477
348,E01000348,Bexley 020A,142,-1.260903506
349,E01000349,Bexley 020B,212,-0.879047785
350,E01000350,Bexley 021C,197,-0.960874011
351,E01000351,Bexley 024A,137,-1.288178915
352,E01000352,Bexley 021D,226,-0.80267664
353,E01000353,Bexley 011A,144,-1.249993343
354,E01000354,Bexley 011B,367,-0.033510115
355,E01000355,Bexley 011C,331,-0.229893058
356,E01000356,Bexley 009A,254,-0.649934351
357,E01000357,Bexley 009B,130,-1.326364487
358,E01000358,Bexley 011D,244,-0.704485169
359,E01000359,Bexley 009C,145,-1.244538261
360,E01000360,Bexley 015A,526,0.833847882
361,E01000361,Bexley 020C,138,-1.282723833
362,E01000362,Bexley 015B,245,-0.699030087
363,E01000363,Bexley 020D,153,-1.200897607
364,E01000364,Bexley 023A,253,-0.655389433
365,E01000365,Bexley 015C,651,1.515733099
366,E01000366,Bexley 015D,256,-0.639024188
367,E01000367,Bexley 010A,484,0.604734449
368,E01000368,Bexley 010B,377,0.021040702
369,E01000369,Bexley 014C,239,-0.731760578
370,E01000370,Bexley 014D,281,-0.502647145
371,E01000371,Bexley 014E,183,-1.037245155
372,E01000372,Bexley 010C,617,1.33026032
373,E01000373,Bexley 008A,369,-0.022599951
374,E01000374,Bexley 019A,366,-0.038965197
375,E01000375,Bexley 019B,337,-0.197162567
376,E01000376,Bexley 019C,223,-0.819041885
377,E01000377,Bexley 019D,223,-0.819041885
378,E01000378,Bexley 019E,361,-0.066240605
379,E01000379,Bexley 019F,288,-0.464461572
380,E01000380,Bexley 010D,444,0.386531179
381,E01000381,Bexley 028A,296,-0.420820918
382,E01000382,Bexley 027A,181,-1.048155318
383,E01000383,Bexley 028B,407,0.184693155
384,E01000384,Bexley 027B,254,-0.649934351
385,E01000385,Bexley 028C,399,0.141052501
386,E01000386,Bexley 028D,677,1.657565224
387,E01000387,Bexley 027C,241,-0.720850414
388,E01000388,Bexley 016A,242,-0.715395332
389,E01000389,Bexley 020E,283,-0.491736981
390,E01000390,Bexley 020F,264,-0.595383534
391,E01000391,Bexley 021E,242,-0.715395332
392,E01000392,Bexley 016B,367,-0.033510115
393,E01000393,Bexley 020G,177,-1.069975645
394,E01000394,Bexley 015E,378,0.026495784
395,E01000395,Bexley 018B,199,-0.949963847
396,E01000396,Bexley 018C,185,-1.026334992
397,E01000397,Bexley 012A,454,0.441081996
398,E01000398,Bexley 012B,340,-0.180797322
399,E01000399,Bexley 012C,219,-0.840862212
400,E01000400,Bexley 012D,235,-0.753580905
401,E01000401,Bexley 013A,727,1.930319311
402,E01000402,Bexley 005B,311,-0.338994692
403,E01000403,Bexley 004A,346,-0.148066831
404,E01000404,Bexley 004B,277,-0.524467471
405,E01000405,Bexley 004C,220,-0.835407131
406,E01000406,Bexley 005C,295,-0.426276
407,E01000407,Bexley 005D,422,0.266519381
408,E01000408,Bexley 004D,258,-0.628114025
409,E01000409,Bexley 016C,151,-1.211807771
410,E01000410,Bexley 018D,143,-1.255448425
411,E01000411,Bexley 016D,190,-0.999059583
412,E01000412,Bexley 018E,169,-1.113616299
413,E01000413,Bexley 018F,216,-0.857227458
414,E01000414,Bexley 016E,322,-0.278988793
415,E01000415,Bexley 016F,183,-1.037245155
416,E01000416,Bexley 002A,433,0.32652528
417,E01000417,Bexley 006B,376,0.015585621
418,E01000418,Bexley 002B,296,-0.420820918
419,E01000419,Bexley 006C,250,-0.671754678
420,E01000420,Bexley 006D,223,-0.819041885
421,E01000421,Bexley 009D,289,-0.459006491
422,E01000422,Bexley 002C,289,-0.459006491
423,E01000423,Bexley 025C,135,-1.299089078
424,E01000424,Bexley 026A,363,-0.055330442
425,E01000425,Bexley 025D,691,1.733936369
426,E01000426,Bexley 026B,226,-0.80267664
427,E01000427,Bexley 026C,296,-0.420820918
428,E01000428,Bexley 027D,900,2.874048452
429,E01000429,Bexley 008B,444,0.386531179
430,E01000430,Bexley 008C,240,-0.726305496
431,E01000431,Bexley 008D,369,-0.022599951
432,E01000432,Bexley 008E,320,-0.289898957
433,E01000433,Bexley 008F,335,-0.208072731
434,E01000434,Bexley 008G,466,0.506542977
435,E01000435,Bexley 010E,336,-0.202617649
436,E01000436,Bexley 011E,209,-0.89541303
437,E01000437,Bexley 007A,234,-0.759035986
438,E01000438,Bexley 007B,246,-0.693575005
439,E01000439,Bexley 007C,315,-0.317174365
440,E01000440,Bexley 007D,151,-1.211807771
441,E01000441,Bexley 007E,402,0.157417746
442,E01000442,Bexley 006E,240,-0.726305496
443,E01000443,Bexley 024B,458,0.462902323
444,E01000444,Bexley 023B,158,-1.173622198
445,E01000445,Bexley 024C,146,-1.239083179
446,E01000446,Bexley 024D,170,-1.108161218
447,E01000447,Bexley 023C,219,-0.840862212
448,E01000448,Bexley 023D,168,-1.119071381
449,E01000449,Bexley 023E,217,-0.851772376
450,E01000450,Bexley 009E,328,-0.246258303
451,E01000451,Bexley 009F,152,-1.206352689
452,E01000452,Bexley 009G,160,-1.162712035
453,E01000453,Bexley 013B,179,-1.059065482
454,E01000454,Bexley 013C,337,-0.197162567
455,E01000455,Bexley 013D,151,-1.211807771
456,E01000456,Bexley 013E,186,-1.02087991
457,E01000457,Bexley 026D,364,-0.04987536
458,E01000458,Bexley 027E,229,-0.786311395
459,E01000459,Bexley 027F,346,-0.148066831
460,E01000460,Bexley 022E,120,-1.380915305
461,E01000461,Bexley 024E,106,-1.457286449
462,E01000462,Bexley 026E,663,1.58119408
463,E01000463,Bexley 025E,260,-0.617203861
464,E01000464,Bexley 002D,418,0.244699054
465,E01000465,Bexley 002E,366,-0.038965197
466,E01000466,Bexley 001A,208,-0.900868112
467,E01000467,Bexley 001B,295,-0.426276
468,E01000468,Bexley 001C,167,-1.124526463
469,E01000469,Bexley 001D,178,-1.064520564
470,E01000470,Bexley 002F,302,-0.388090428
471,E01000471,Brent 026A,330,-0.235348139
472,E01000472,Brent 029A,166,-1.129981545
473,E01000473,Brent 029B,210,-0.889957948
474,E01000474,Brent 026B,205,-0.917233357
475,E01000475,Brent 029C,148,-1.228173016
476,E01000476,Brent 026C,224,-0.813586804
477,E01000477,Brent 026D,191,-0.993604501
478,E01000478,Brent 029D,216,-0.857227458
479,E01000479,Brent 009A,199,-0.949963847
480,E01000480,Brent 006A,154,-1.195442525
481,E01000481,Brent 009B,257,-0.633569106
482,E01000482,Brent 009C,508,0.73565641
483,E01000483,Brent 009D,293,-0.437186164
484,E01000484,Brent 006B,412,0.211968563
485,E01000485,Brent 006C,1012,3.485017607
486,E01000486,Brent 006D,155,-1.189987444
487,E01000487,Brent 006E,278,-0.51901239
488,E01000488,Brent 022A,170,-1.108161218
489,E01000489,Brent 030A,378,0.026495784
490,E01000490,Brent 023A,490,0.637464939
491,E01000491,Brent 030B,299,-0.404455673
492,E01000492,Brent 030C,268,-0.573563207
493,E01000493,Brent 030D,214,-0.868137621
494,E01000494,Brent 023B,526,0.833847882
495,E01000495,Brent 023C,753,2.072151437
496,E01000496,Brent 010A,334,-0.213527812
497,E01000497,Brent 011A,272,-0.55174288
498,E01000498,Brent 010B,125,-1.353639896
499,E01000499,Brent 011B,243,-0.709940251
500,E01000500,Brent 010C,163,-1.14634679
501,E01000501,Brent 011C,303,-0.382635346
502,E01000502,Brent 011D,260,-0.617203861
503,E01000503,Brent 011E,305,-0.371725183
504,E01000504,Brent 018A,263,-0.600838616
505,E01000505,Brent 018B,225,-0.808131722
506,E01000506,Brent 014A,223,-0.819041885
507,E01000507,Brent 018C,226,-0.80267664
508,E01000508,Brent 025A,355,-0.098971096
509,E01000509,Brent 014B,247,-0.688119924
510,E01000510,Brent 014C,242,-0.715395332
511,E01000511,Brent 014D,207,-0.906323193
512,E01000512,Brent 018D,240,-0.726305496
513,E01000513,Brent 002A,210,-0.889957948
514,E01000514,Brent 002B,141,-1.266358588
515,E01000515,Brent 003A,310,-0.344449774
516,E01000516,Brent 002C,193,-0.982694338
517,E01000517,Brent 003B,185,-1.026334992
518,E01000518,Brent 005A,258,-0.628114025
519,E01000519,Brent 005B,208,-0.900868112
520,E01000520,Brent 002D,446,0.397441343
521,E01000521,Brent 025B,352,-0.115336341
522,E01000522,Brent 025C,231,-0.775401231
523,E01000523,Brent 031A,284,-0.486281899
524,E01000524,Brent 031B,350,-0.126246504
525,E01000525,Brent 031C,326,-0.257168466
526,E01000526,Brent 025D,501,0.697470838
527,E01000527,Brent 025E,306,-0.366270101
528,E01000528,Brent 025F,279,-0.513557308
529,E01000529,Brent 031D,354,-0.104426178
530,E01000530,Brent 033A,218,-0.846317294
531,E01000531,Brent 033B,292,-0.442641245
532,E01000532,Brent 033C,433,0.32652528
533,E01000533,Brent 031E,446,0.397441343
534,E01000534,Brent 033D,260,-0.617203861
535,E01000535,Brent 031F,249,-0.67720976
536,E01000536,Brent 004A,208,-0.900868112
537,E01000537,Brent 003C,214,-0.868137621
538,E01000538,Brent 004B,142,-1.260903506
539,E01000539,Brent 004C,233,-0.764491068
540,E01000540,Brent 004D,205,-0.917233357
541,E01000541,Brent 004E,295,-0.426276
542,E01000542,Brent 003D,179,-1.059065482
543,E01000543,Brent 003E,182,-1.042700237
544,E01000544,Brent 034A,374,0.004675457
545,E01000545,Brent 028A,547,0.948404598
546,E01000546,Brent 028B,251,-0.666299597
547,E01000547,Brent 028C,396,0.124687256
548,E01000548,Brent 028D,431,0.315615116
549,E01000549,Brent 028E,240,-0.726305496
550,E01000550,Brent 034B,771,2.170342908
551,E01000551,Brent 034C,488,0.626554776
552,E01000552,Brent 034D,411,0.206513482
553,E01000553,Brent 015A,466,0.506542977
554,E01000554,Brent 015B,410,0.2010584
555,E01000555,Brent 015C,250,-0.671754678
556,E01000556,Brent 015D,296,-0.420820918
557,E01000557,Brent 015E,392,0.102866929
558,E01000558,Brent 015F,413,0.217423645
559,E01000559,Brent 018E,349,-0.131701586
560,E01000560,Brent 023D,249,-0.67720976
561,E01000561,Brent 023E,398,0.135597419
562,E01000562,Brent 008A,135,-1.299089078
563,E01000563,Brent 008B,184,-1.031790073
564,E01000564,Brent 013A,203,-0.92814352
565,E01000565,Brent 013B,328,-0.246258303
566,E01000566,Brent 008C,180,-1.0536104
